cenario_id,geracao_fv_kw,irradiancia_w_m2,carga_kw,no_rede,fator_potencia,tensao_inicial_pu,tensao_resultado_pu,classificacao_risco,origem_resultado
370,2000.0,700.0,1250.0,675,1.0,1.0491767244385408,1.0560380449756255,ATENÇÃO,OPENDSS
371,2000.0,700.0,1500.0,675,1.0,1.04793400185747,1.0546670334668062,ATENÇÃO,OPENDSS
372,2000.0,700.0,1750.0,675,1.0,1.0467656419480598,1.0534560499415568,ATENÇÃO,OPENDSS
373,2000.0,700.0,2000.0,675,1.0,1.0448693989505173,1.0522607476918455,ATENÇÃO,OPENDSS
374,2000.0,800.0,0.0,675,1.0,1.0426313134570546,1.0504193440551954,ATENÇÃO,OPENDSS
375,2000.0,800.0,250.0,675,1.0,1.0481216271804614,1.0556474298609368,ATENÇÃO,OPENDSS
376,2000.0,800.0,500.0,675,1.0,1.0465566010760377,1.0543508499695893,ATENÇÃO,OPENDSS
377,2000.0,800.0,750.0,675,1.0,1.0452702884617993,1.0531601602733243,ATENÇÃO,OPENDSS
378,2000.0,800.0,1000.0,675,1.0,1.0439870094004733,1.051975797260721,ATENÇÃO,OPENDSS
379,2000.0,800.0,1250.0,675,1.0,1.0491767244385408,1.057027181275287,ATENÇÃO,OPENDSS
380,2000.0,800.0,1500.0,675,1.0,1.04793400185747,1.0557578092460187,ATENÇÃO,OPENDSS
381,2000.0,800.0,1750.0,675,1.0,1.0467656419480598,1.054391563649796,ATENÇÃO,OPENDSS
382,2000.0,800.0,2000.0,675,1.0,1.0448693989505173,1.0531902516992517,ATENÇÃO,OPENDSS
383,2000.0,900.0,0.0,675,1.0,1.0426313134570546,1.0513166122087036,ATENÇÃO,OPENDSS
384,2000.0,900.0,250.0,675,1.0,1.0481216271804614,1.0565389259875075,ATENÇÃO,OPENDSS
385,2000.0,900.0,500.0,675,1.0,1.0465566010760377,1.0553739457964264,ATENÇÃO,OPENDSS
386,2000.0,900.0,750.0,675,1.0,1.0452702884617993,1.0540923474722912,ATENÇÃO,OPENDSS
387,2000.0,900.0,1000.0,675,1.0,1.0439870094004733,1.0529030390503555,ATENÇÃO,OPENDSS
388,2000.0,900.0,1250.0,675,1.0,1.0491767244385408,1.0579395965319898,ATENÇÃO,OPENDSS
389,2000.0,900.0,1500.0,675,1.0,1.04793400185747,1.0567381298560667,ATENÇÃO,OPENDSS
390,2000.0,900.0,1750.0,675,1.0,1.0467656419480598,1.0553281689067449,ATENÇÃO,OPENDSS
391,2000.0,900.0,2000.0,675,1.0,1.0448693989505173,1.054118462607523,ATENÇÃO,OPENDSS
392,2000.0,1000.0,0.0,675,1.0,1.0426313134570546,1.0521988004832652,ATENÇÃO,OPENDSS
393,2000.0,1000.0,250.0,675,1.0,1.0481216271804614,1.0574179685466891,ATENÇÃO,OPENDSS
394,2000.0,1000.0,500.0,675,1.0,1.0465566010760377,1.0562632852400267,ATENÇÃO,OPENDSS
395,2000.0,1000.0,750.0,675,1.0,1.0452702884617993,1.0551073478201158,ATENÇÃO,OPENDSS
396,2000.0,1000.0,1000.0,675,1.0,1.0439870094004733,1.0538208193091159,ATENÇÃO,OPENDSS
397,2000.0,1000.0,1250.0,675,1.0,1.0491767244385408,1.0526463979714622,ATENÇÃO,OPENDSS
398,2000.0,1000.0,1500.0,675,1.0,1.04793400185747,1.05764518040906,ATENÇÃO,OPENDSS
399,2000.0,1000.0,1750.0,675,1.0,1.0467656419480598,1.0564532834278029,ATENÇÃO,OPENDSS
400,2000.0,1000.0,2000.0,675,1.0,1.0448693989505173,1.0550440547249211,ATENÇÃO,OPENDSS
401,2500.0,500.0,0.0,675,1.0,1.0426313134570546,1.0488054449734527,BAIXO,OPENDSS
402,2500.0,500.0,250.0,675,1.0,1.0481216271804614,1.05405960264574,ATENÇÃO,OPENDSS
403,2500.0,500.0,500.0,675,1.0,1.0465566010760377,1.052718380953988,ATENÇÃO,OPENDSS
404,2500.0,500.0,750.0,675,1.0,1.0452702884617993,1.051521947052045,ATENÇÃO,OPENDSS
405,2500.0,500.0,1000.0,675,1.0,1.0439870094004733,1.0503332003891839,ATENÇÃO,OPENDSS
406,2500.0,500.0,1250.0,675,1.0,1.0491767244385408,1.0551867305213294,ATENÇÃO,OPENDSS
407,2500.0,500.0,1500.0,675,1.0,1.04793400185747,1.053960160323009,ATENÇÃO,OPENDSS
408,2500.0,500.0,1750.0,675,1.0,1.0467656419480598,1.05275303859912,ATENÇÃO,OPENDSS
409,2500.0,500.0,2000.0,675,1.0,1.0448693989505173,1.0512447809234855,ATENÇÃO,OPENDSS
410,2500.0,700.0,0.0,675,1.0,1.0426313134570546,1.0510936837198872,ATENÇÃO,OPENDSS
411,2500.0,700.0,250.0,675,1.0,1.0481216271804614,1.0563171912448595,ATENÇÃO,OPENDSS
412,2500.0,700.0,500.0,675,1.0,1.0465566010760377,1.0551498370191286,ATENÇÃO,OPENDSS
413,2500.0,700.0,750.0,675,1.0,1.0452702884617993,1.0538530731772615,ATENÇÃO,OPENDSS
414,2500.0,700.0,1000.0,675,1.0,1.0439870094004733,1.0526720802600171,ATENÇÃO,OPENDSS
415,2500.0,700.0,1250.0,675,1.0,1.0491767244385408,1.0577120644190312,ATENÇÃO,OPENDSS
416,2500.0,700.0,1500.0,675,1.0,1.04793400185747,1.0565105652815314,ATENÇÃO,OPENDSS
417,2500.0,700.0,1750.0,675,1.0,1.0467656419480598,1.055091101396811,ATENÇÃO,OPENDSS
418,2500.0,700.0,2000.0,675,1.0,1.0448693989505173,1.0538866053799276,ATENÇÃO,OPENDSS
419,2500.0,900.0,0.0,675,1.0,1.0426313134570546,1.053333471671531,ATENÇÃO,OPENDSS
420,2500.0,900.0,250.0,675,1.0,1.0481216271804614,1.052182419389845,ATENÇÃO,OPENDSS
421,2500.0,900.0,500.0,675,1.0,1.0465566010760377,1.057358037389827,ATENÇÃO,OPENDSS
422,2500.0,900.0,750.0,675,1.0,1.0452702884617993,1.0562128522804606,ATENÇÃO,OPENDSS
423,2500.0,900.0,1000.0,675,1.0,1.0439870094004733,1.055065516509533,ATENÇÃO,OPENDSS
424,2500.0,900.0,1250.0,675,1.0,1.0491767244385408,1.0537866670665277,ATENÇÃO,OPENDSS
425,2500.0,900.0,1500.0,675,1.0,1.04793400185747,1.0526240117482786,ATENÇÃO,OPENDSS
